"Issuer Company","Open Date","Close Date","Listing Date","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"CMS Info Systems Limited IPO","Dec 21, 2021","Dec 23, 2021","Dec 31, 2021","216","1,100.00","69","BSE, NSE",""
"Supriya Lifescience Limited IPO","Dec 16, 2021","Dec 20, 2021","Dec 28, 2021","274","700.00","54","BSE, NSE",""
"HP Adhesives Limited IPO","Dec 15, 2021","Dec 17, 2021","Dec 27, 2021","274","125.96","50","BSE, NSE",""
"Data Patterns (India) Limited IPO","Dec 14, 2021","Dec 16, 2021","Dec 24, 2021","585","588.22","25","BSE, NSE",""
"Medplus Health Services Limited IPO","Dec 13, 2021","Dec 15, 2021","Dec 23, 2021","796","1,398.30","18","BSE, NSE",""
"Metro Brands Limited IPO","Dec 10, 2021","Dec 14, 2021","Dec 22, 2021","500","1,367.51","30","BSE, NSE",""
"C.E. Info systems limited IPO","Dec 09, 2021","Dec 13, 2021","Dec 21, 2021","1,033","1,039.61","14","BSE, NSE",""
"Shriram Properties Limited IPO","Dec 08, 2021","Dec 10, 2021","Dec 20, 2021","118","600.00","125","BSE, NSE",""
"Rategain Travel Technologies Limited IPO","Dec 07, 2021","Dec 09, 2021","Dec 17, 2021","425","1,335.74","35","BSE, NSE",""
"Anand Rathi Wealth Limited IPO","Dec 02, 2021","Dec 06, 2021","Dec 14, 2021","550","660.00","27","BSE, NSE",""
"Tega Industries Limited IPO","Dec 01, 2021","Dec 03, 2021","Dec 13, 2021","453","619.23","33","BSE, NSE",""
"Star Health and Allied Insurance Company Ltd IPO","Nov 30, 2021","Dec 02, 2021","Dec 10, 2021","900","7,249.18","16","BSE, NSE",""
"Go Fashion (India) Limited IPO","Nov 17, 2021","Nov 22, 2021","Nov 30, 2021","690","1,013.61","21","BSE, NSE",""
"Tarsons Products Limited IPO","Nov 15, 2021","Nov 17, 2021","Nov 26, 2021","662","1,023.47","22","BSE, NSE",""
"Latent View Analytics Limited IPO","Nov 10, 2021","Nov 12, 2021","Nov 23, 2021","197","600.00","76","BSE, NSE",""
"Sapphire Foods India Limited IPO","Nov 09, 2021","Nov 11, 2021","Nov 18, 2021","1,180","2,073.25","12","BSE, NSE",""
