Issuer Company,Open Date,Close Date,Listing Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange,Compare
Prince Pipes and Fittings Ltd IPO,"Dec 18, 2019","Dec 20, 2019","Dec 30, 2019",178,500.00,84,"BSE, NSE",
Ujjivan Small Finance Bank Ltd IPO,"Dec 02, 2019","Dec 04, 2019","Dec 12, 2019",37,750.00,400,"BSE, NSE",
CSB Bank Limited IPO,"Nov 22, 2019","Nov 26, 2019","Dec 04, 2019",195,409.68,75,"BSE, NSE",
Vishwaraj Sugar Industries Ltd IPO,"Sep 30, 2019","Oct 04, 2019","Oct 15, 2019",60,60.00,240,"BSE, NSE",
IRCTC Limited IPO,"Sep 30, 2019","Oct 03, 2019","Oct 14, 2019",320,645.12,40,"BSE, NSE",
Sterling and Wilson Solar Ltd IPO,"Aug 06, 2019","Aug 08, 2019","Aug 20, 2019",780,"3,145.16",19,"BSE, NSE",
Spandana Sphoorty Financial Ltd IPO,"Aug 05, 2019","Aug 07, 2019","Aug 19, 2019",856,"1,202.34",17,"BSE, NSE",
Affle (India) Limited IPO,"Jul 29, 2019","Jul 31, 2019","Aug 08, 2019",745,459.00,20,"BSE, NSE",
IndiaMART InterMESH Limited IPO,"Jun 24, 2019","Jun 26, 2019","Jul 04, 2019",973,475.59,15,"BSE, NSE",
Neogen Chemicals Limited IPO,"Apr 24, 2019","Apr 26, 2019","May 08, 2019",215,132.35,65,"BSE, NSE",
Polycab India Limited IPO,"Apr 05, 2019","Apr 09, 2019","Apr 16, 2019",538,"1,346.00",27,"BSE, NSE",
Metropolis Healthcare Limited IPO,"Apr 03, 2019","Apr 05, 2019","Apr 15, 2019",880,"1,204.29",17,"BSE, NSE",
Rail Vikas Nigam Limited IPO,"Mar 29, 2019","Apr 03, 2019","Apr 11, 2019",19,481.57,780,"BSE, NSE",
Embassy Office Parks REIT,"Mar 18, 2019","Mar 20, 2019","Apr 01, 2019",300,"4,750.00",400,"BSE, NSE",
MSTC Limited IPO,"Mar 13, 2019","Mar 20, 2019","Mar 29, 2019",120,212.04,90,"BSE, NSE",
Chalet Hotels Limited IPO,"Jan 29, 2019","Jan 31, 2019","Feb 07, 2019",280,"1,641.18",53,"BSE, NSE",
Xelpmoc Design and Tech Limited IPO,"Jan 23, 2019","Jan 25, 2019","Feb 04, 2019",66,23.00,200,"BSE, NSE",
Antony Waste Handling Cell Limited IPO,"Dec 21, 2020","Dec 23, 2020","Jan 01, 2021",315,300.00,47,"BSE, NSE",
Mrs. Bectors Food Specialities Limited IPO,"Dec 15, 2020","Dec 17, 2020","Dec 24, 2020",288,540.54,50,"BSE, NSE",
Burger King India Limited IPO,"Dec 02, 2020","Dec 04, 2020","Dec 14, 2020",60,810.00,250,"BSE, NSE",
Gland Pharma Limited IPO,"Nov 09, 2020","Nov 11, 2020","Nov 20, 2020","1,500","6,479.55",10,"BSE, NSE",
Equitas Small Finance Bank Ltd IPO,"Oct 20, 2020","Oct 22, 2020","Nov 02, 2020",33,517.60,450,"BSE, NSE",
Likhitha Infrastructure Ltd IPO,"Sep 29, 2020","Oct 07, 2020","Oct 15, 2020",120,61.20,125,"BSE, NSE",
Mazagon Dock Shipbuilders Limited IPO,"Sep 29, 2020","Oct 01, 2020","Oct 12, 2020",145,443.69,103,"BSE, NSE",
UTI Asset Management Company Ltd IPO,"Sep 29, 2020","Oct 01, 2020","Oct 12, 2020",554,"2,159.88",27,"BSE, NSE",
Angel One Ltd IPO,"Sep 22, 2020","Sep 24, 2020","Oct 05, 2020",306,600.00,49,"BSE, NSE",
Chemcon Speciality Chemicals Limited IPO,"Sep 21, 2020","Sep 23, 2020","Oct 01, 2020",340,318.00,44,"BSE, NSE",
Computer Age Management Services Ltd IPO,"Sep 21, 2020","Sep 23, 2020","Oct 01, 2020","1,230","2,244.33",12,BSE,
Route Mobile Ltd IPO,"Sep 09, 2020","Sep 11, 2020","Sep 21, 2020",350,600.00,40,"BSE, NSE",
Happiest Minds Technologies Ltd IPO,"Sep 07, 2020","Sep 09, 2020","Sep 17, 2020",166,702.02,90,"BSE, NSE",
Mindspace Business Parks REIT,"Jul 27, 2020","Jul 29, 2020","Aug 07, 2020",275,"4,500.00",200,"BSE, NSE",
Yes Bank Ltd FPO,"Jul 15, 2020","Jul 17, 2020","Jul 27, 2020",12,"15,000.00","1,000","BSE, NSE",
Rossari Biotech Ltd IPO,"Jul 13, 2020","Jul 15, 2020","Jul 23, 2020",425,496.49,35,"BSE, NSE",
Antony Waste Handling Cell Ltd IPO,"Mar 04, 2020","Mar 16, 2020","Mar 17, 2020",294.00 to 300.00,206.00,50,"BSE, NSE",
SBI Cards and Payment Services Ltd IPO,"Mar 02, 2020","Mar 05, 2020","Mar 16, 2020",755,"10,354.77",19,"BSE, NSE",
ITI Ltd FPO,"Jan 24, 2020","Feb 05, 2020","Feb 05, 2020",71.00 to 77.00,"1,399.86",150,"BSE, NSE",
CMS Info Systems Limited IPO,"Dec 21, 2021","Dec 23, 2021","Dec 31, 2021",216,"1,100.00",69,"BSE, NSE",
Supriya Lifescience Limited IPO,"Dec 16, 2021","Dec 20, 2021","Dec 28, 2021",274,700.00,54,"BSE, NSE",
HP Adhesives Limited IPO,"Dec 15, 2021","Dec 17, 2021","Dec 27, 2021",274,125.96,50,"BSE, NSE",
Data Patterns (India) Limited IPO,"Dec 14, 2021","Dec 16, 2021","Dec 24, 2021",585,588.22,25,"BSE, NSE",
Medplus Health Services Limited IPO,"Dec 13, 2021","Dec 15, 2021","Dec 23, 2021",796,"1,398.30",18,"BSE, NSE",
Metro Brands Limited IPO,"Dec 10, 2021","Dec 14, 2021","Dec 22, 2021",500,"1,367.51",30,"BSE, NSE",
C.E. Info systems limited IPO,"Dec 09, 2021","Dec 13, 2021","Dec 21, 2021","1,033","1,039.61",14,"BSE, NSE",
Shriram Properties Limited IPO,"Dec 08, 2021","Dec 10, 2021","Dec 20, 2021",118,600.00,125,"BSE, NSE",
Rategain Travel Technologies Limited IPO,"Dec 07, 2021","Dec 09, 2021","Dec 17, 2021",425,"1,335.74",35,"BSE, NSE",
