Issuer Company,Open Date,Close Date,Listing Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange,Compare,Updated Symbol,Formatted Symbol
Aadhar Housing Finance Limited,"May 08, 2024","May 10, 2024","May 15, 2024",315,"3,000.00",47,"BSE, NSE",,AADHARHFC,AADHARHFC.NS
Allied Blenders and Distillers Limited,"Jun 25, 2024","Jun 27, 2024","Jul 02, 2024",281,"1,500.00",53,"BSE, NSE",,ABDL,ABDL.NS
Aditya Birla Sun Life AMC Limited,"Sep 29, 2021","Oct 01, 2021","Oct 11, 2021",712,"2,768.26",20,"BSE, NSE",,ABSLAMC,ABSLAMC.NS
Archean Chemical Industries Limited,"Nov 09, 2022","Nov 11, 2022","Nov 21, 2022",407,"1,462.31",36,"BSE, NSE",,ACI,ACI.NS
Aeroflex Industries Limited,"Aug 22, 2023","Aug 24, 2023","Aug 31, 2023",108,351.00,130,"BSE, NSE",,AEROFLEX,AEROFLEX.NS
Aether Industries Limited,"May 24, 2022","May 26, 2022","Jun 03, 2022",642,808.04,23,"BSE, NSE",,AETHER,AETHER.NS
Afcons Infrastructure Limited,"Oct 25, 2024","Oct 29, 2024","Nov 04, 2024",463,"5,430.00",32,"BSE, NSE",,AFCONS,AFCONS.NS
Affle (India) Limited,"Jul 29, 2019","Jul 31, 2019","Aug 08, 2019",745,459.00,20,"BSE, NSE",,AFFLE,AFFLE.NS
AGS Transact Technologies Limited,"Jan 19, 2022","Jan 21, 2022","Jan 31, 2022",175,680.00,85,"BSE, NSE",,AGSTRA,AGSTRA.NS
Abans Holdings Limited,"Dec 12, 2022","Dec 15, 2022","Dec 23, 2022",270,345.60,55,"BSE, NSE",,AHL,AHL.NS
Akums Drugs and Pharmaceuticals Limited,"Jul 30, 2024","Aug 01, 2024","Aug 06, 2024",679,"1,856.74",22,"BSE, NSE",,AKUMS,AKUMS.NS
Ami Organics Limited,"Sep 01, 2021","Sep 03, 2021","Sep 14, 2021",610,569.64,24,"BSE, NSE",,AMIORG,AMIORG.NS
