Date,Close,High,Low,Open,Volume,symbol
,DOMS.NS,DOMS.NS,DOMS.NS,DOMS.NS,DOMS.NS,
2023-12-18,1305.8375244140625,1432.7245677197902,1224.5098990367835,1398.7548080946347,17528698,DOMS.NS
2023-12-25,1249.6876220703125,1332.7635732047038,1243.892731644219,1305.8375905694734,1868836,DOMS.NS
2024-01-01,1320.67431640625,1323.8215391747497,1244.442251138742,1249.6875817656608,965395,DOMS.NS
2024-01-08,1519.947021484375,1566.6054382390678,1307.8357899585076,1324.1213417044917,2571628,DOMS.NS
2024-01-15,1431.5755615234375,1526.341175072334,1394.758361264917,1519.946964968305,868407,DOMS.NS
2024-01-22,1448.8602294921875,1475.386542168607,1390.8119292861832,1431.5755677031625,336230,DOMS.NS
2024-01-29,1412.8922119140625,1484.2786120905291,1372.87778551013,1467.0939593758262,687722,DOMS.NS
2024-02-05,1555.3154296875,1643.0373895725115,1406.7477315403444,1412.8922861521341,765133,DOMS.NS
2024-02-12,1566.80517578125,1657.224684022047,1470.2412349918252,1571.4510644091752,744836,DOMS.NS
2024-02-19,1567.654541015625,1642.3380586181627,1473.588253315197,1543.8256555556545,688570,DOMS.NS
2024-02-26,1500.9638671875,1685.6993151301083,1494.2198707991495,1579.5938207380902,611177,DOMS.NS
2024-03-04,1448.6602783203125,1527.5401286103167,1395.0580954323175,1527.5401286103167,429165,DOMS.NS
2024-03-11,1398.8048095703125,1462.6978820685993,1371.1293734606863,1460.349996609266,349606,DOMS.NS
2024-03-18,1499.4151611328125,1512.503484973575,1364.7850142311656,1364.7850142311656,1072966,DOMS.NS
2024-03-25,1564.357421875,1607.369181987635,1483.679240928868,1499.4152328781136,308855,DOMS.NS
2024-04-01,1709.827880859375,1726.4630965465733,1558.662522029767,1603.422603207633,782049,DOMS.NS
2024-04-08,1696.539794921875,1758.434647508279,1652.4290377525433,1691.4942376315435,437305,DOMS.NS
2024-04-15,1732.0081787109375,1807.2911358247143,1629.8990052030917,1634.0953427772918,763116,DOMS.NS
2024-04-22,1760.3828125,1867.2876430329109,1744.0473791426928,1770.3240358060384,440655,DOMS.NS
2024-04-29,1815.9833984375,1878.3279241417888,1737.553216498601,1768.076094050602,376856,DOMS.NS
2024-05-06,1814.23486328125,1833.3178503461077,1748.6932357577518,1828.3222976086195,395891,DOMS.NS
2024-05-13,1816.0333251953125,1849.3536378215213,1778.6165617230693,1828.2724294974807,231524,DOMS.NS
2024-05-20,1801.9459228515625,1828.3223444113132,1759.4337191825855,1818.9806849454233,218336,DOMS.NS
2024-05-27,1923.7374267578125,2033.1900401095877,1809.3892691098101,1814.0351577215733,2750534,DOMS.NS
2024-06-03,1899.0093994140625,1948.2655989833104,1694.7412934745846,1948.2655989833104,532241,DOMS.NS
2024-06-10,1921.5394287109375,1973.2434013800087,1879.32700658015,1926.2852039800794,321796,DOMS.NS
2024-06-17,2014.8563232421875,2132.601477646088,1915.344936449925,1921.5393731004165,934979,DOMS.NS
2024-06-24,2038.3853759765625,2063.0135983625933,1968.2478613761791,2014.3068351612123,368122,DOMS.NS
2024-07-01,2249.247802734375,2293.058901369803,2051.9234535772225,2068.9083342641675,577178,DOMS.NS
2024-07-08,2322.63232421875,2362.8965295105395,2226.8677211632894,2267.631237823248,649130,DOMS.NS
2024-07-15,2219.024658203125,2361.797466377641,2203.0388884907206,2342.614591507453,300351,DOMS.NS
2024-07-22,2442.325927734375,2537.191432984603,2119.1136398955246,2197.9933751135377,596388,DOMS.NS
2024-07-29,2306.496826171875,2478.7433961737047,2204.2377586145753,2442.375867875393,402619,DOMS.NS
2024-08-05,2389.27294921875,2476.79513380773,2198.5928409188637,2278.2219055526734,522298,DOMS.NS
2024-08-12,2287.71337890625,2542.736346464202,2224.2698590632335,2403.859980193662,738612,DOMS.NS
2024-08-19,2609.77685546875,2647.643049053748,2248.5983791544368,2297.954344461744,1315607,DOMS.NS
2024-08-26,2604.93115234375,2713.584431782769,2475.3965586095246,2613.4235925757653,770436,DOMS.NS
2024-09-02,2627.560791015625,2688.606544424609,2549.7301751659616,2617.6696939399762,522238,DOMS.NS
2024-09-09,2839.17236328125,2864.7496905894877,2621.366266286361,2626.6616009154263,1143736,DOMS.NS
2024-09-16,2699.14990234375,2975.0,2686.5,2861.0,690708,DOMS.NS
2024-09-23,2689.64990234375,2762.60009765625,2578.0,2730.0,611509,DOMS.NS
2024-09-30,2567.25,2713.39990234375,2512.050048828125,2686.050048828125,272705,DOMS.NS
2024-10-07,2694.300048828125,2764.949951171875,2431.300048828125,2560.0,560388,DOMS.NS
2024-10-14,2924.39990234375,3038.60009765625,2684.050048828125,2708.699951171875,1199043,DOMS.NS
2024-10-21,2535.300048828125,2967.39990234375,2492.050048828125,2938.949951171875,571474,DOMS.NS
2024-10-28,2847.550048828125,2875.0,2481.75,2559.25,692012,DOMS.NS
2024-11-04,2771.64990234375,2901.0,2751.89990234375,2855.89990234375,288769,DOMS.NS
2024-11-11,2687.300048828125,2845.0,2580.050048828125,2801.89990234375,328735,DOMS.NS
2024-11-18,2896.199951171875,2909.89990234375,2652.300048828125,2699.39990234375,477842,DOMS.NS
2024-11-25,2995.85009765625,3096.39990234375,2837.0,2939.89990234375,754398,DOMS.NS
2024-12-02,2913.449951171875,3004.60009765625,2832.0,2995.85009765625,587911,DOMS.NS
2024-12-09,2978.60009765625,3042.699951171875,2860.0,2881.0,527939,DOMS.NS
2024-12-16,2781.0,3115.0,2735.89990234375,2971.75,4381594,DOMS.NS
2024-12-23,2601.300048828125,2786.0,2486.60009765625,2767.050048828125,2052249,DOMS.NS
