Date,Close,High,Low,Open,Volume,symbol
,FIVESTAR.NS,FIVESTAR.NS,FIVESTAR.NS,FIVESTAR.NS,FIVESTAR.NS,
2022-11-21,512.5499877929688,543.5999755859375,448.20001220703125,468.79998779296875,16169998,FIVESTAR.NS
2022-11-28,518.0,536.5999755859375,494.0,514.0,1638535,FIVESTAR.NS
2022-12-05,565.0,687.7000122070312,511.20001220703125,517.0,7354639,FIVESTAR.NS
2022-12-12,610.25,627.7999877929688,561.0499877929688,567.75,1856375,FIVESTAR.NS
2022-12-19,553.6500244140625,626.9500122070312,550.0,626.9500122070312,1002438,FIVESTAR.NS
2022-12-26,614.7000122070312,622.8499755859375,561.3499755859375,585.4500122070312,674425,FIVESTAR.NS
2023-01-02,637.25,659.9000244140625,598.2000122070312,614.7000122070312,1402812,FIVESTAR.NS
2023-01-09,588.0499877929688,646.9500122070312,577.0,643.0,409440,FIVESTAR.NS
2023-01-16,591.9000244140625,604.0,585.0,585.0,155484,FIVESTAR.NS
2023-01-23,593.25,615.9000244140625,586.0,600.0,282829,FIVESTAR.NS
2023-01-30,561.7000122070312,624.9500122070312,552.0,607.5,890347,FIVESTAR.NS
2023-02-06,603.5499877929688,621.8499755859375,558.0999755859375,563.9500122070312,1351812,FIVESTAR.NS
2023-02-13,565.0,612.0,556.9500122070312,606.9000244140625,291308,FIVESTAR.NS
2023-02-20,541.4000244140625,567.0499877929688,530.2000122070312,559.0999755859375,214809,FIVESTAR.NS
2023-02-27,549.7000122070312,553.0,522.9500122070312,542.0,245461,FIVESTAR.NS
2023-03-06,545.6500244140625,574.8499755859375,543.0,555.0,167439,FIVESTAR.NS
2023-03-13,530.0999755859375,550.0,522.0,549.0,212159,FIVESTAR.NS
2023-03-20,528.8499755859375,551.4000244140625,496.1000061035156,520.5,351528,FIVESTAR.NS
2023-03-27,540.5999755859375,549.7999877929688,515.9000244140625,517.0,188393,FIVESTAR.NS
2023-04-03,549.7000122070312,550.0,532.0,532.0,193184,FIVESTAR.NS
