Date,Close,High,Low,Open,Volume,symbol
,GOCOLORS.NS,GOCOLORS.NS,GOCOLORS.NS,GOCOLORS.NS,GOCOLORS.NS,
2021-11-29,1247.75,1339.9000244140625,1143.0999755859375,1310.0,26322402,GOCOLORS.NS
2021-12-06,1210.3499755859375,1289.4000244140625,1163.1500244140625,1245.0,2472870,GOCOLORS.NS
2021-12-13,1154.0,1211.050048828125,1050.0,1210.3499755859375,923585,GOCOLORS.NS
2021-12-20,1132.9000244140625,1156.3499755859375,960.5499877929688,1096.0,1894629,GOCOLORS.NS
2021-12-27,1070.0,1123.0,1006.2999877929688,1095.0,1514680,GOCOLORS.NS
2022-01-03,1047.25,1085.0,1028.300048828125,1050.0,882533,GOCOLORS.NS
2022-01-10,1063.9000244140625,1074.9000244140625,1020.0999755859375,1047.0,870846,GOCOLORS.NS
2022-01-17,1074.25,1133.699951171875,1045.5999755859375,1063.1500244140625,511436,GOCOLORS.NS
2022-01-24,967.5999755859375,1085.0,912.9500122070312,1075.0,810312,GOCOLORS.NS
2022-01-31,1015.6500244140625,1060.0,933.9500122070312,970.0,759321,GOCOLORS.NS
2022-02-07,988.9500122070312,1085.0,970.0999755859375,1026.050048828125,640511,GOCOLORS.NS
2022-02-14,950.0999755859375,976.5,932.0499877929688,970.1500244140625,345648,GOCOLORS.NS
2022-02-21,917.0499877929688,950.0999755859375,869.0499877929688,950.0,539740,GOCOLORS.NS
2022-02-28,940.0,980.5999755859375,861.0,900.0,366331,GOCOLORS.NS
2022-03-07,885.3499755859375,931.9000244140625,847.2999877929688,931.9000244140625,458549,GOCOLORS.NS
2022-03-14,950.4000244140625,968.9500122070312,861.0499877929688,885.0,233671,GOCOLORS.NS
2022-03-21,965.25,995.0,917.0999755859375,958.0,257435,GOCOLORS.NS
2022-03-28,995.4000244140625,1039.0,932.0499877929688,947.5499877929688,403215,GOCOLORS.NS
2022-04-04,995.4500122070312,1000.5499877929688,976.3499755859375,999.0,673511,GOCOLORS.NS
2022-04-11,1019.5499877929688,1037.949951171875,977.0,1024.0,243706,GOCOLORS.NS
2022-04-18,1041.3499755859375,1074.0,978.7999877929688,1014.0,225508,GOCOLORS.NS
2022-04-25,1001.0,1039.0,981.2000122070312,1025.800048828125,171475,GOCOLORS.NS
2022-05-02,981.0999755859375,1035.0,940.8499755859375,999.9500122070312,160701,GOCOLORS.NS
2022-05-09,975.9500122070312,1026.9000244140625,903.0,988.0,356452,GOCOLORS.NS
2022-05-16,1112.050048828125,1130.0,967.2999877929688,990.0,351577,GOCOLORS.NS
2022-05-23,1027.4000244140625,1156.800048828125,1012.0,1112.0,573137,GOCOLORS.NS
2022-05-30,988.8499755859375,1049.0,970.8499755859375,1048.0,586660,GOCOLORS.NS
2022-06-06,1006.5499877929688,1009.0,975.5,981.0499877929688,154873,GOCOLORS.NS
2022-06-13,924.6500244140625,1024.0,906.7000122070312,986.4500122070312,115057,GOCOLORS.NS
2022-06-20,1000.75,1036.0,874.0,917.0,545584,GOCOLORS.NS
2022-06-27,986.0,1034.0,980.0,1000.75,105567,GOCOLORS.NS
2022-07-04,996.9500122070312,1025.0,980.0,986.0,63207,GOCOLORS.NS
2022-07-11,979.7000122070312,1010.0,960.0,996.9500122070312,173106,GOCOLORS.NS
2022-07-18,991.1500244140625,1018.75,978.7000122070312,998.0,126481,GOCOLORS.NS
2022-07-25,1050.25,1060.0,989.3499755859375,1000.0,113662,GOCOLORS.NS
2022-08-01,1116.5,1152.0,1046.3499755859375,1085.0,310221,GOCOLORS.NS
2022-08-08,1080.6500244140625,1138.25,1066.449951171875,1125.0,563511,GOCOLORS.NS
2022-08-15,1108.4000244140625,1224.0,1080.6500244140625,1080.6500244140625,871446,GOCOLORS.NS
2022-08-22,1138.550048828125,1199.0,1072.0,1094.0,645613,GOCOLORS.NS
2022-08-29,1167.9000244140625,1178.9000244140625,1080.0,1095.0,145089,GOCOLORS.NS
2022-09-05,1256.050048828125,1274.0,1172.050048828125,1178.0,261191,GOCOLORS.NS
2022-09-12,1283.25,1315.0,1249.050048828125,1265.0,228507,GOCOLORS.NS
2022-09-19,1295.0,1324.0,1185.0,1289.699951171875,549684,GOCOLORS.NS
2022-09-26,1318.1500244140625,1374.5999755859375,1245.3499755859375,1278.5,461934,GOCOLORS.NS
2022-10-03,1394.050048828125,1445.0,1287.0,1329.0,357006,GOCOLORS.NS
2022-10-10,1326.6500244140625,1392.6500244140625,1311.0999755859375,1390.0,137150,GOCOLORS.NS
