Date,Close,High,Low,Open,Volume,symbol
,PAYTM.NS,PAYTM.NS,PAYTM.NS,PAYTM.NS,PAYTM.NS,
2021-11-15,1560.800048828125,1955.0,1560.0,1950.0,23955434,PAYTM.NS
2021-11-22,1782.5999755859375,1873.699951171875,1271.0,1509.0,79155613,PAYTM.NS
2021-11-29,1648.3499755859375,1810.0,1592.0,1700.0,10470479,PAYTM.NS
2021-12-06,1567.550048828125,1680.050048828125,1525.0999755859375,1658.0,5685291,PAYTM.NS
2021-12-13,1321.0,1578.75,1296.0,1578.0,20093450,PAYTM.NS
2021-12-20,1369.550048828125,1385.0,1290.0,1321.0,6311475,PAYTM.NS
2021-12-27,1334.550048828125,1379.1500244140625,1325.0999755859375,1365.0,4140558,PAYTM.NS
2022-01-03,1231.5999755859375,1350.0,1230.0,1335.0,7395259,PAYTM.NS
2022-01-10,1118.5999755859375,1230.0,1000.0,1230.0,39386465,PAYTM.NS
2022-01-17,960.2999877929688,1145.9000244140625,952.2999877929688,1127.699951171875,26920040,PAYTM.NS
2022-01-24,903.0499877929688,960.2999877929688,875.0,960.2999877929688,18703232,PAYTM.NS
2022-01-31,953.2999877929688,994.0,911.0,920.0,12434705,PAYTM.NS
2022-02-07,906.5,984.5,881.2999877929688,941.0,8757034,PAYTM.NS
2022-02-14,833.4000244140625,895.9500122070312,831.0,895.9500122070312,9793944,PAYTM.NS
2022-02-21,789.3499755859375,837.0499877929688,771.1500244140625,832.5,10630062,PAYTM.NS
2022-02-28,784.8499755859375,817.4500122070312,772.4000244140625,785.7999877929688,5307408,PAYTM.NS
2022-03-07,775.0499877929688,795.7999877929688,728.0499877929688,774.8499755859375,7521853,PAYTM.NS
2022-03-14,597.0499877929688,719.0,572.0,675.0,89569716,PAYTM.NS
2022-03-21,546.0,595.0,521.0,595.0,80658963,PAYTM.NS
2022-03-28,571.2999877929688,582.4500122070312,523.5,552.0,32739329,PAYTM.NS
2022-04-04,616.9500122070312,657.4000244140625,572.4000244140625,579.0,54483847,PAYTM.NS
2022-04-11,691.2000122070312,719.7000122070312,616.5,619.0,47765606,PAYTM.NS
2022-04-18,625.5999755859375,694.5,622.2999877929688,682.7000122070312,26051644,PAYTM.NS
2022-04-25,581.6500244140625,623.0,580.0,620.0,17980215,PAYTM.NS
2022-05-02,568.0,608.7000122070312,546.6500244140625,577.8499755859375,14174994,PAYTM.NS
2022-05-09,543.1500244140625,573.0,510.04998779296875,563.7000122070312,13663470,PAYTM.NS
2022-05-16,575.5,606.2999877929688,547.5999755859375,555.0,17317759,PAYTM.NS
2022-05-23,616.2999877929688,652.0,552.0,561.0,41405684,PAYTM.NS
2022-05-30,623.4500122070312,676.9000244140625,620.3499755859375,622.0,17210044,PAYTM.NS
2022-06-06,600.5,639.4000244140625,594.0,616.0,11298764,PAYTM.NS
2022-06-13,630.1500244140625,648.0,578.0,590.0,25797965,PAYTM.NS
2022-06-20,648.0499877929688,659.0,618.2000122070312,642.0,13557033,PAYTM.NS
2022-06-27,657.0,723.5999755859375,651.0499877929688,651.0499877929688,31712555,PAYTM.NS
2022-07-04,698.75,706.0,632.0,660.0499877929688,15118284,PAYTM.NS
2022-07-11,709.3499755859375,739.1500244140625,692.0,703.0,17530012,PAYTM.NS
2022-07-18,743.0499877929688,749.4000244140625,708.6500244140625,715.0,9978809,PAYTM.NS
2022-07-25,706.7999877929688,763.2999877929688,678.0999755859375,737.7000122070312,13388569,PAYTM.NS
2022-08-01,784.2999877929688,825.0,707.4500122070312,708.0,23758362,PAYTM.NS
2022-08-08,787.2999877929688,844.7000122070312,775.0,784.0,22297260,PAYTM.NS
2022-08-15,772.0999755859375,799.9000244140625,766.8499755859375,787.2999877929688,6302531,PAYTM.NS
2022-08-22,762.0499877929688,800.0,760.0,790.0,6919616,PAYTM.NS
2022-08-29,727.2000122070312,747.4000244140625,714.0999755859375,747.0,5472733,PAYTM.NS
2022-09-05,727.9000244140625,740.0,681.0,700.0,7518714,PAYTM.NS
2022-09-12,718.5999755859375,748.0,686.8499755859375,730.0,6861087,PAYTM.NS
2022-09-19,692.5999755859375,725.0,680.0499877929688,720.5,4901595,PAYTM.NS
2022-09-26,637.9500122070312,692.5999755859375,629.5499877929688,691.0999755859375,3540085,PAYTM.NS
2022-10-03,707.4500122070312,711.1500244140625,641.75,644.75,4561303,PAYTM.NS
2022-10-10,681.5,745.4500122070312,676.5999755859375,707.0,6170654,PAYTM.NS
2022-10-17,629.5999755859375,680.7999877929688,625.0,676.0,4435952,PAYTM.NS
2022-10-24,642.8499755859375,663.7999877929688,631.0499877929688,643.0,2859813,PAYTM.NS
2022-10-31,650.3499755859375,659.5,635.5999755859375,645.0,4133281,PAYTM.NS
2022-11-07,632.0,668.4000244140625,624.0999755859375,653.0,3950861,PAYTM.NS
