Date,Close,High,Low,Open,Volume,symbol
,TBOTEK.NS,TBOTEK.NS,TBOTEK.NS,TBOTEK.NS,TBOTEK.NS,
2024-05-13,1464.5,1490.0,1275.0,1426.0,14558885,TBOTEK.NS
2024-05-20,1387.050048828125,1459.949951171875,1380.9000244140625,1451.6500244140625,898093,TBOTEK.NS
2024-05-27,1408.0,1462.800048828125,1369.25,1387.050048828125,1119517,TBOTEK.NS
2024-06-03,1525.5,1574.199951171875,1231.6500244140625,1438.0,1155229,TBOTEK.NS
2024-06-10,1606.5999755859375,1630.6500244140625,1500.050048828125,1533.3499755859375,815645,TBOTEK.NS
2024-06-17,1588.0999755859375,1625.0,1553.199951171875,1606.5999755859375,416704,TBOTEK.NS
2024-06-24,1902.9000244140625,1933.0,1633.1500244140625,1649.449951171875,3109474,TBOTEK.NS
2024-07-01,1844.050048828125,1918.949951171875,1756.0,1891.0999755859375,670894,TBOTEK.NS
2024-07-08,1806.5999755859375,1938.449951171875,1740.75,1870.0,344831,TBOTEK.NS
2024-07-15,1732.800048828125,1830.0,1720.0,1824.5999755859375,382994,TBOTEK.NS
2024-07-22,1748.9000244140625,1794.5,1676.0999755859375,1715.0999755859375,344946,TBOTEK.NS
2024-07-29,1737.699951171875,1866.0,1701.050048828125,1786.0,350043,TBOTEK.NS
2024-08-05,1732.25,1750.0,1638.0,1719.949951171875,309318,TBOTEK.NS
2024-08-12,1575.9000244140625,1742.4000244140625,1555.050048828125,1732.25,644882,TBOTEK.NS
2024-08-19,1726.8499755859375,1743.550048828125,1581.75,1581.75,715251,TBOTEK.NS
2024-08-26,1771.699951171875,1795.0,1645.0,1730.0,404119,TBOTEK.NS
2024-09-02,1837.5,2001.0,1753.050048828125,1807.0999755859375,379998,TBOTEK.NS
2024-09-09,1794.949951171875,1854.9000244140625,1730.0,1849.949951171875,252713,TBOTEK.NS
2024-09-16,1752.550048828125,1814.699951171875,1720.0,1808.449951171875,372511,TBOTEK.NS
2024-09-23,1847.1500244140625,1890.0,1731.5999755859375,1775.0,198871,TBOTEK.NS
2024-09-30,1749.0999755859375,1850.0,1730.050048828125,1845.0,185193,TBOTEK.NS
2024-10-07,1745.75,1784.0,1665.050048828125,1770.0,178041,TBOTEK.NS
2024-10-14,1701.0,1783.0,1681.25,1771.949951171875,94272,TBOTEK.NS
2024-10-21,1601.8499755859375,1704.800048828125,1568.4000244140625,1701.699951171875,218605,TBOTEK.NS
2024-10-28,1668.0999755859375,1678.0,1540.6500244140625,1601.0,189660,TBOTEK.NS
2024-11-04,1704.1500244140625,1771.0,1553.800048828125,1668.0999755859375,1380103,TBOTEK.NS
2024-11-11,1567.550048828125,1730.0,1552.0,1678.5999755859375,169518,TBOTEK.NS
2024-11-18,1520.199951171875,1624.949951171875,1503.0,1575.0,192446,TBOTEK.NS
2024-11-25,1586.5999755859375,1635.0,1485.5,1585.0,686699,TBOTEK.NS
2024-12-02,1524.050048828125,1591.8499755859375,1460.0999755859375,1579.050048828125,1876566,TBOTEK.NS
2024-12-09,1635.5999755859375,1671.949951171875,1495.0,1529.0,982165,TBOTEK.NS
2024-12-16,1684.800048828125,1753.5,1656.949951171875,1689.0,725510,TBOTEK.NS
2024-12-23,1704.25,1746.449951171875,1645.050048828125,1695.550048828125,515891,TBOTEK.NS
