Date,Close,High,Low,Open,Volume,symbol
,AFCONS.NS,AFCONS.NS,AFCONS.NS,AFCONS.NS,AFCONS.NS,
2024-11-04,474.20001220703125,479.45001220703125,420.25,426.0,60012876,AFCONS.NS
2024-11-05,493.70001220703125,496.0,471.20001220703125,473.75,16830053,AFCONS.NS
2024-11-06,489.04998779296875,513.5,485.04998779296875,499.1499938964844,10501905,AFCONS.NS
2024-11-07,476.45001220703125,483.95001220703125,471.0,481.8999938964844,4796420,AFCONS.NS
2024-11-08,490.8500061035156,512.7999877929688,460.1499938964844,475.45001220703125,10571869,AFCONS.NS
2024-11-11,493.75,503.95001220703125,483.6000061035156,487.75,4437853,AFCONS.NS
2024-11-12,458.3999938964844,500.8500061035156,456.1000061035156,494.29998779296875,3640687,AFCONS.NS
2024-11-13,469.25,481.79998779296875,452.0,458.95001220703125,4394267,AFCONS.NS
2024-11-14,474.75,483.8999938964844,468.75,470.0,2094067,AFCONS.NS
2024-11-18,467.79998779296875,478.95001220703125,462.5,473.04998779296875,1136641,AFCONS.NS
2024-11-19,480.1000061035156,503.6499938964844,470.1499938964844,470.1499938964844,8660732,AFCONS.NS
2024-11-21,487.79998779296875,497.0,475.8999938964844,480.1000061035156,3307627,AFCONS.NS
2024-11-22,497.25,506.79998779296875,477.1000061035156,504.95001220703125,4698464,AFCONS.NS
2024-11-25,528.25,532.0499877929688,498.45001220703125,500.0,9312028,AFCONS.NS
2024-11-26,525.9000244140625,552.5,521.5999755859375,534.0,4788112,AFCONS.NS
2024-11-27,495.3999938964844,527.4000244140625,493.54998779296875,526.9000244140625,2805267,AFCONS.NS
2024-11-28,509.5,514.5,498.3999938964844,498.3999938964844,2410432,AFCONS.NS
2024-11-29,503.8500061035156,517.9500122070312,502.04998779296875,511.3999938964844,1456563,AFCONS.NS
2024-12-02,494.1000061035156,503.8500061035156,488.1499938964844,503.0,3156496,AFCONS.NS
2024-12-03,493.3500061035156,501.95001220703125,489.3500061035156,495.8999938964844,1280558,AFCONS.NS
2024-12-04,496.8999938964844,499.3999938964844,489.04998779296875,497.04998779296875,1061964,AFCONS.NS
2024-12-05,526.1500244140625,537.2999877929688,497.79998779296875,498.95001220703125,6175325,AFCONS.NS
2024-12-06,545.5499877929688,559.2999877929688,527.0,530.0499877929688,5324630,AFCONS.NS
2024-12-09,524.7000122070312,544.9000244140625,523.0,543.5999755859375,1509113,AFCONS.NS
2024-12-10,533.8499755859375,537.8499755859375,525.0,526.0,1484969,AFCONS.NS
2024-12-11,524.4000244140625,554.8499755859375,522.2000122070312,535.5,3245226,AFCONS.NS
2024-12-12,526.25,538.9500122070312,523.3499755859375,535.0,1708282,AFCONS.NS
2024-12-13,522.5,528.9500122070312,513.0999755859375,523.4500122070312,1346210,AFCONS.NS
2024-12-16,539.9500122070312,564.5499877929688,534.0499877929688,536.0,7018548,AFCONS.NS
2024-12-17,540.0999755859375,567.7999877929688,537.0,542.7999877929688,4758011,AFCONS.NS
2024-12-18,529.9500122070312,563.0,526.75,542.0,2827188,AFCONS.NS
2024-12-19,515.2999877929688,524.9000244140625,509.6000061035156,523.0,2598682,AFCONS.NS
2024-12-20,520.25,531.7000122070312,517.0,519.4000244140625,2640788,AFCONS.NS
2024-12-23,526.9500122070312,537.0,520.3499755859375,525.2999877929688,1944584,AFCONS.NS
2024-12-24,533.0999755859375,537.2000122070312,518.4000244140625,528.7999877929688,1801707,AFCONS.NS
2024-12-26,533.2000122070312,555.5999755859375,525.9500122070312,538.0499877929688,2178805,AFCONS.NS
2024-12-27,528.25,539.0,525.7999877929688,535.9500122070312,691267,AFCONS.NS
