Date,Close,High,Low,Open,Volume,symbol
,CRAFTSMAN.NS,CRAFTSMAN.NS,CRAFTSMAN.NS,CRAFTSMAN.NS,CRAFTSMAN.NS,
2021-03-25,1425.678466796875,1479.7025297108482,1340.6700772547954,1349.6078777698274,3479695,CRAFTSMAN.NS
2021-03-26,1484.1712646484375,1519.4259183085376,1418.428832229283,1420.11703475896,1002138,CRAFTSMAN.NS
2021-03-30,1476.2763671875,1499.5642536290163,1425.5791298572535,1490.6264534418235,170135,CRAFTSMAN.NS
2021-03-31,1409.6400146484375,1479.5534986457842,1400.2056699375837,1465.8985260379695,146087,CRAFTSMAN.NS
2021-04-01,1439.0355224609375,1465.7992198889729,1415.2509705133207,1415.2509705133207,67232,CRAFTSMAN.NS
2021-04-05,1415.10205078125,1449.860164030499,1412.1724868694846,1425.0826432192057,37221,CRAFTSMAN.NS
2021-04-06,1445.192626953125,1459.840688281116,1412.22212384452,1420.117132137412,71043,CRAFTSMAN.NS
2021-04-07,1444.9940185546875,1478.6596344939871,1433.6727811148037,1448.9166711270436,62183,CRAFTSMAN.NS
2021-04-08,1446.284912109375,1471.7079622422343,1439.9788222023049,1453.882066002879,62787,CRAFTSMAN.NS
2021-04-09,1434.81494140625,1466.7923566142792,1431.4879964935224,1450.9029336584035,32379,CRAFTSMAN.NS
2021-04-12,1356.5594482421875,1420.1171383501671,1341.762399268589,1413.1655159946067,76484,CRAFTSMAN.NS
2021-04-13,1358.94287109375,1378.357686296863,1351.7429765894742,1362.517966878125,36743,CRAFTSMAN.NS
2021-04-15,1332.5267333984375,1371.306782175065,1327.461883031327,1361.5745836991919,38327,CRAFTSMAN.NS
2021-04-16,1329.051025390625,1367.4835202803813,1325.7737832783653,1367.4835202803813,31669,CRAFTSMAN.NS
2021-04-19,1287.142578125,1310.8774285385723,1286.0502045132205,1304.9188947724879,32114,CRAFTSMAN.NS
2021-04-20,1285.901123046875,1330.4411354513886,1277.1123106288612,1296.0802841541424,52698,CRAFTSMAN.NS
2021-04-22,1264.4007568359375,1323.7875223848314,1236.395697951324,1281.0846990820949,194559,CRAFTSMAN.NS
2021-04-23,1275.2254638671875,1305.9119358834726,1266.188378898424,1290.0225130894532,58253,CRAFTSMAN.NS
2021-04-26,1291.5120849609375,1306.9049625594723,1276.1192073624027,1281.0846517490268,86599,CRAFTSMAN.NS
2021-04-27,1295.9810791015625,1304.8195949974759,1283.5674672327737,1299.7548656003457,83136,CRAFTSMAN.NS
2021-04-28,1349.7071533203125,1355.5664023082256,1297.9672438218688,1297.9672438218688,68163,CRAFTSMAN.NS
2021-04-29,1348.763671875,1368.2281894649138,1330.0439709369452,1353.8284008623073,32211,CRAFTSMAN.NS
2021-04-30,1336.300537109375,1357.7016535973692,1327.3131543755135,1340.6701529643735,28684,CRAFTSMAN.NS
2021-05-03,1284.659912109375,1336.250958634523,1282.8227216961961,1335.8536987873445,56238,CRAFTSMAN.NS
2021-05-04,1321.9503173828125,1330.7391299284232,1287.142502844389,1297.9671961316785,44843,CRAFTSMAN.NS
2021-05-05,1368.675048828125,1390.3244349487086,1290.0224578559805,1325.7736576118043,72070,CRAFTSMAN.NS
2021-05-06,1396.4815673828125,1419.1240428695812,1356.708429540141,1415.1516872562304,106027,CRAFTSMAN.NS
2021-05-07,1475.4322509765625,1488.6403829180763,1396.283107660317,1410.9808730737302,200337,CRAFTSMAN.NS
2021-05-10,1524.887939453125,1539.2877278751832,1481.2417326921052,1506.5157956042922,334749,CRAFTSMAN.NS
2021-05-11,1489.236083984375,1524.3914551431074,1482.0361894893992,1508.502032809368,151515,CRAFTSMAN.NS
2021-05-12,1514.80810546875,1563.1219039367807,1486.2568000442375,1488.6402376119656,140050,CRAFTSMAN.NS
2021-05-14,1521.6605224609375,1536.3085842695841,1492.6126710776891,1515.5034195472956,148091,CRAFTSMAN.NS
2021-05-17,1509.5943603515625,1536.5070443639593,1502.5434536511439,1536.3084750815067,252416,CRAFTSMAN.NS
2021-05-18,1500.060791015625,1539.2878027634683,1491.3712630967989,1519.4260246632944,110954,CRAFTSMAN.NS
2021-05-19,1481.539794921875,1511.4317494659158,1470.1192714641393,1500.0609289486702,58784,CRAFTSMAN.NS
2021-05-20,1474.240478515625,1499.5642455766883,1467.8846852824158,1479.70246748958,59743,CRAFTSMAN.NS
2021-05-21,1466.2462158203125,1504.5298455289003,1449.909950146663,1481.6887983690556,98710,CRAFTSMAN.NS
2021-05-24,1483.774169921875,1491.7685844275693,1460.3372950424223,1469.7716400290956,35914,CRAFTSMAN.NS
2021-05-25,1581.9906005859375,1594.2552241229237,1489.6333338850636,1489.6333338850636,358890,CRAFTSMAN.NS
2021-05-26,1618.8839111328125,1636.610523933726,1562.6751030634332,1597.8800564377216,122685,CRAFTSMAN.NS
2021-05-27,1621.31689453125,1638.497380786732,1587.9491321350963,1628.6657765488167,73263,CRAFTSMAN.NS
2021-05-28,1628.5665283203125,1673.354813931543,1574.0459228970303,1626.679635145322,141693,CRAFTSMAN.NS
2021-05-31,1695.1529541015625,1725.9884112043667,1612.3790231835562,1631.6449710061993,177334,CRAFTSMAN.NS
2021-06-01,1737.111083984375,1765.7120932658527,1641.9732385342893,1689.2442467070953,195257,CRAFTSMAN.NS
2021-06-02,1765.364501953125,1781.6014811733335,1713.0783472820515,1729.2657447934143,114030,CRAFTSMAN.NS
2021-06-03,1772.0181884765625,1787.5600543051619,1747.8364975428249,1773.6568094383438,77069,CRAFTSMAN.NS
2021-06-04,1779.51611328125,1795.2068459511067,1757.7674410366474,1773.6568642324587,108480,CRAFTSMAN.NS
2021-06-07,1795.703369140625,1821.6726691137883,1759.058484310997,1782.5946436501358,95360,CRAFTSMAN.NS
2021-06-08,1788.0068359375,1822.318105432358,1776.6360166858246,1819.3388387749753,51294,CRAFTSMAN.NS
2021-06-09,1791.8800048828125,1842.0806992971834,1778.6222917773785,1797.4909816398967,103394,CRAFTSMAN.NS
2021-06-10,1805.63427734375,1822.318220166188,1792.326982417612,1822.318220166188,25675,CRAFTSMAN.NS
2021-06-11,1784.7794189453125,1821.7224007557793,1772.663782201887,1814.3238153153438,42589,CRAFTSMAN.NS
2021-06-14,1774.1036376953125,1785.573863115338,1706.275737766813,1784.5807742037055,36421,CRAFTSMAN.NS
2021-06-15,1757.56884765625,1792.5752326548863,1748.829616527622,1775.643017803173,24666,CRAFTSMAN.NS
2021-06-16,1726.0382080078125,1777.4305584896815,1709.1059938028275,1757.5687805256741,26931,CRAFTSMAN.NS
2021-06-17,1710.297607421875,1725.1443587990868,1689.244171819321,1689.244171819321,30921,CRAFTSMAN.NS
2021-06-18,1688.6981201171875,1720.923930494013,1673.3549437526804,1711.0923252735122,31823,CRAFTSMAN.NS
2021-06-21,1713.97216796875,1742.8710309024823,1637.1070623605367,1663.423918382711,32329,CRAFTSMAN.NS
2021-06-22,1728.4215087890625,1740.7855381961174,1704.1902368729156,1737.9055561719838,11448,CRAFTSMAN.NS
2021-06-23,1777.4306640625,1787.5601229351273,1717.3983638645877,1728.9678744611426,38530,CRAFTSMAN.NS
2021-06-24,1752.50390625,1802.4563256385293,1743.9633660873499,1777.4305342360344,20436,CRAFTSMAN.NS
2021-06-25,1730.9539794921875,1781.303539010843,1721.0230903384743,1742.8710464766432,17519,CRAFTSMAN.NS
2021-06-28,1742.8709716796875,1760.051457668964,1708.609405569745,1721.0230164791444,17786,CRAFTSMAN.NS
2021-06-29,1781.502197265625,1787.5600152943437,1736.515221723382,1762.7327928596999,39508,CRAFTSMAN.NS
2021-06-30,1763.1300048828125,1802.5555845499168,1748.0846842498152,1787.5599668511106,42826,CRAFTSMAN.NS
2021-07-01,1772.6138916015625,1785.5240466317869,1749.177019022796,1767.6981502922588,10393,CRAFTSMAN.NS
2021-07-02,1841.1868896484375,1900.7722258830147,1774.5506462047706,1781.6015534138603,113903,CRAFTSMAN.NS
2021-07-05,2037.32177734375,2079.528053501249,1881.4068277736944,1909.709860020488,269344,CRAFTSMAN.NS
2021-07-06,1977.885498046875,2074.562676560349,1966.3159883147396,2044.6211437196198,80696,CRAFTSMAN.NS
2021-07-07,1973.16845703125,2054.5024662004203,1964.3299411397347,1986.177898017932,40613,CRAFTSMAN.NS
