Date,Close,High,Low,Open,Volume,symbol
,KAYNES.NS,KAYNES.NS,KAYNES.NS,KAYNES.NS,KAYNES.NS,
2022-11-22,689.9500122070312,786.0,675.0999755859375,778.0,15636034,KAYNES.NS
2022-11-23,715.5999755859375,719.7000122070312,690.5,702.0,2346053,KAYNES.NS
2022-11-24,730.0999755859375,739.7999877929688,705.0999755859375,716.0,1689717,KAYNES.NS
2022-11-25,745.1500244140625,767.9000244140625,722.0,724.8499755859375,1915106,KAYNES.NS
2022-11-28,749.9000244140625,764.0,734.5499877929688,745.0,759905,KAYNES.NS
2022-11-29,733.9500122070312,754.75,731.1500244140625,753.7000122070312,462934,KAYNES.NS
2022-11-30,725.1500244140625,738.0,722.1500244140625,735.0,347873,KAYNES.NS
2022-12-01,739.4500122070312,745.25,728.25,728.25,279131,KAYNES.NS
2022-12-02,740.2000122070312,747.9500122070312,724.0,738.9500122070312,328645,KAYNES.NS
2022-12-05,741.9500122070312,751.0,734.9500122070312,740.2000122070312,238342,KAYNES.NS
2022-12-06,739.9000244140625,744.9500122070312,729.0,735.0,155237,KAYNES.NS
2022-12-07,759.5499877929688,796.75,735.0,735.0,1160261,KAYNES.NS
2022-12-08,746.1500244140625,772.0,741.0,759.9500122070312,212406,KAYNES.NS
2022-12-09,727.1500244140625,763.0,724.9500122070312,749.9000244140625,299354,KAYNES.NS
2022-12-12,730.7999877929688,735.9000244140625,715.25,728.6500244140625,171216,KAYNES.NS
2022-12-13,726.0,735.4500122070312,724.0,733.7999877929688,144431,KAYNES.NS
2022-12-14,734.8499755859375,738.0,726.0,729.5999755859375,141865,KAYNES.NS
2022-12-15,721.9500122070312,734.9500122070312,718.25,730.0,90870,KAYNES.NS
2022-12-16,705.25,724.4500122070312,701.0999755859375,715.0,91513,KAYNES.NS
2022-12-19,694.25,709.0,691.2000122070312,708.5,145490,KAYNES.NS
2022-12-20,700.5999755859375,709.0,688.5499877929688,693.9500122070312,159281,KAYNES.NS
2022-12-21,703.1500244140625,722.6500244140625,696.5499877929688,701.0,237160,KAYNES.NS
2022-12-22,702.25,707.0,667.25,705.0,200700,KAYNES.NS
2022-12-23,680.25,697.0,672.9500122070312,690.0,177531,KAYNES.NS
2022-12-26,703.8499755859375,713.5999755859375,666.7999877929688,670.5,133235,KAYNES.NS
2022-12-27,721.7000122070312,724.9500122070312,704.9500122070312,705.0,123539,KAYNES.NS
2022-12-28,737.75,745.5,712.4000244140625,720.0,196026,KAYNES.NS
2022-12-29,747.4500122070312,756.0,724.6500244140625,729.9500122070312,172325,KAYNES.NS
2022-12-30,750.9500122070312,754.0,736.25,750.0,130907,KAYNES.NS
2023-01-02,741.4500122070312,757.4000244140625,738.0499877929688,750.0,67794,KAYNES.NS
2023-01-03,738.3499755859375,747.7000122070312,731.75,744.0,43130,KAYNES.NS
2023-01-04,753.0499877929688,755.9500122070312,734.3499755859375,739.0,143152,KAYNES.NS
2023-01-05,746.3499755859375,758.0,741.1500244140625,755.0,65554,KAYNES.NS
2023-01-06,754.5999755859375,784.9000244140625,744.0999755859375,746.5999755859375,487821,KAYNES.NS
2023-01-09,772.5,782.4500122070312,758.4000244140625,758.4000244140625,153238,KAYNES.NS
2023-01-10,760.0499877929688,789.0,756.0,775.0,189874,KAYNES.NS
2023-01-11,764.7000122070312,766.4500122070312,757.0,761.9500122070312,52191,KAYNES.NS
2023-01-12,757.0,768.5499877929688,750.0,768.5499877929688,35001,KAYNES.NS
2023-01-13,760.4000244140625,764.0,755.0,757.0,40097,KAYNES.NS
2023-01-16,770.8499755859375,780.0,756.0,764.25,102004,KAYNES.NS
2023-01-17,768.7000122070312,806.4000244140625,761.5999755859375,774.75,465856,KAYNES.NS
2023-01-18,794.0,798.0,772.5499877929688,772.5499877929688,213125,KAYNES.NS
2023-01-19,800.5,825.7999877929688,790.0,798.0,393381,KAYNES.NS
2023-01-20,790.5999755859375,808.0,786.5999755859375,804.0,96442,KAYNES.NS
2023-01-23,798.5999755859375,803.0,774.0499877929688,794.5999755859375,145124,KAYNES.NS
2023-01-24,794.9000244140625,807.9000244140625,782.7000122070312,801.9000244140625,173288,KAYNES.NS
2023-01-25,763.5999755859375,796.5999755859375,758.0,788.5,92841,KAYNES.NS
2023-01-27,764.3499755859375,772.5,741.0499877929688,760.0,158601,KAYNES.NS
2023-01-30,769.5,782.25,754.0999755859375,757.4500122070312,126959,KAYNES.NS
2023-01-31,772.9000244140625,783.5,754.0999755859375,771.9500122070312,118704,KAYNES.NS
2023-02-01,808.7999877929688,815.0,782.0,791.7999877929688,530852,KAYNES.NS
2023-02-02,814.3499755859375,849.0,803.3499755859375,810.0,308577,KAYNES.NS
2023-02-03,829.1500244140625,837.4000244140625,798.9500122070312,818.4500122070312,197649,KAYNES.NS
2023-02-06,888.0499877929688,904.0,821.9500122070312,833.2999877929688,413977,KAYNES.NS
2023-02-07,899.5,926.9500122070312,883.0999755859375,885.0,354212,KAYNES.NS
2023-02-08,880.5999755859375,904.0,874.25,904.0,140532,KAYNES.NS
2023-02-09,882.75,895.75,871.0,883.0,91113,KAYNES.NS
2023-02-10,838.5,898.9500122070312,833.25,883.0,202483,KAYNES.NS
2023-02-13,898.5999755859375,905.3499755859375,833.25,842.7000122070312,296630,KAYNES.NS
2023-02-14,890.0499877929688,907.7999877929688,866.0,901.0,164004,KAYNES.NS
2023-02-15,902.25,917.6500244140625,881.1500244140625,890.0499877929688,230105,KAYNES.NS
2023-02-16,885.8499755859375,904.7999877929688,865.0999755859375,900.0,473555,KAYNES.NS
2023-02-17,870.1500244140625,887.2000122070312,859.8499755859375,885.0,166777,KAYNES.NS
2023-02-20,895.8499755859375,899.0,855.0,874.9500122070312,177031,KAYNES.NS
2023-02-21,938.0499877929688,951.25,887.0999755859375,900.3499755859375,538767,KAYNES.NS
2023-02-22,952.75,958.25,927.0999755859375,938.4500122070312,448429,KAYNES.NS
2023-02-23,944.6500244140625,957.5999755859375,933.0,953.0999755859375,183525,KAYNES.NS
2023-02-24,923.25,953.9000244140625,920.0,945.0,222303,KAYNES.NS
2023-02-27,875.8499755859375,936.4500122070312,865.7999877929688,923.9500122070312,322988,KAYNES.NS
2023-02-28,866.8499755859375,884.5499877929688,860.4000244140625,880.25,162528,KAYNES.NS
2023-03-01,872.5,910.0,858.2999877929688,870.7999877929688,187788,KAYNES.NS
2023-03-02,874.6500244140625,892.0,870.0,874.6500244140625,96484,KAYNES.NS
2023-03-03,878.5499877929688,885.0,875.0,878.0,233726,KAYNES.NS
2023-03-06,899.7000122070312,911.7999877929688,877.0499877929688,882.9500122070312,151329,KAYNES.NS
2023-03-08,912.5999755859375,929.0,886.1500244140625,908.6500244140625,323226,KAYNES.NS
2023-03-09,931.1500244140625,959.7999877929688,903.25,903.2999877929688,223091,KAYNES.NS
2023-03-10,956.75,968.3499755859375,915.2999877929688,929.6500244140625,253444,KAYNES.NS
2023-03-13,970.2999877929688,992.6500244140625,961.5499877929688,961.5499877929688,333296,KAYNES.NS
2023-03-14,932.0999755859375,971.0,920.0,970.2999877929688,112062,KAYNES.NS
2023-03-15,974.6500244140625,989.7000122070312,940.25,950.0,234946,KAYNES.NS
2023-03-16,951.4000244140625,974.6500244140625,945.0,974.0499877929688,192562,KAYNES.NS
2023-03-17,945.4000244140625,962.1500244140625,937.5,949.0,113098,KAYNES.NS
2023-03-20,941.9000244140625,987.0,921.75,921.75,164900,KAYNES.NS
2023-03-21,960.4000244140625,973.0,946.0499877929688,946.6500244140625,342737,KAYNES.NS
2023-03-22,961.3499755859375,976.0,954.7000122070312,961.0,55518,KAYNES.NS
2023-03-23,953.0,986.0,946.0999755859375,954.25,275786,KAYNES.NS
2023-03-24,944.0499877929688,965.0,938.6500244140625,957.7999877929688,241980,KAYNES.NS
2023-03-27,946.3499755859375,963.0,933.0499877929688,945.0,85217,KAYNES.NS
2023-03-28,957.5,970.0,940.0,951.0999755859375,71864,KAYNES.NS
2023-03-29,963.9000244140625,968.0499877929688,948.0,948.0,145208,KAYNES.NS
2023-03-31,962.7999877929688,987.9500122070312,955.0999755859375,968.75,188618,KAYNES.NS
2023-04-03,1039.0,1070.0,960.0,972.4000244140625,313837,KAYNES.NS
2023-04-05,991.0,1048.0,986.0,1040.0,180229,KAYNES.NS
2023-04-06,964.4000244140625,997.0,960.5,997.0,122040,KAYNES.NS
2023-04-10,939.5499877929688,982.0,932.3499755859375,974.9000244140625,132428,KAYNES.NS
2023-04-11,973.1500244140625,979.5999755859375,941.0,947.0499877929688,192481,KAYNES.NS
2023-04-12,959.2999877929688,983.8499755859375,955.0,982.4500122070312,83849,KAYNES.NS
2023-04-13,954.7999877929688,964.9500122070312,942.5,952.0,71988,KAYNES.NS
2023-04-17,970.5999755859375,976.25,934.7999877929688,950.0,320712,KAYNES.NS
2023-04-18,958.5,982.0,954.4000244140625,974.5999755859375,57062,KAYNES.NS
2023-04-19,942.9000244140625,969.7000122070312,939.5499877929688,959.0,58490,KAYNES.NS
2023-04-20,942.0999755859375,953.0,940.0499877929688,948.5999755859375,44406,KAYNES.NS
2023-04-21,943.8499755859375,952.8499755859375,935.1500244140625,947.9000244140625,61339,KAYNES.NS
2023-04-24,961.0,968.0,943.0,951.0999755859375,73246,KAYNES.NS
2023-04-25,960.7999877929688,973.9000244140625,957.0,961.5999755859375,39601,KAYNES.NS
